Model,Test Accuracy,Test ROC-AUC,CV Mean Accuracy,CV Std
Logistic Regression,0.8333333333333334,0.9486607142857143,0.8315254237288137,0.02463276836158192
Random Forest,0.8666666666666667,0.9453125,0.8045762711864407,0.053379636129531706
